City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Badlapur,"Katrap, Badlapur - MPCB",20-11-2023 12:00:00,180,168,9,45,6,40,3
Belapur,"CBD Belapur, Belapur - MPCB",20-11-2023 12:00:00,79,105,7,41,13,29,14
Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",20-11-2023 12:00:00,162,175,10,47,14,59,10
Boisar,"Khaira, Boisar - MPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA
Chandrapur,"Chauhan Colony, Chandrapur - MPCB",20-11-2023 12:00:00,108,83,7,40,112,18,5
Chandrapur,"MIDC Khutala, Chandrapur - MPCB",20-11-2023 12:00:00,NA,NA,NA,44,1,NA,NA
Dhule,"Deopur, Dhule - MPCB",20-11-2023 12:00:00,122,137,17,29,18,16,1
Jalgaon,"Prabhat Colony, Jalgaon - MPCB",20-11-2023 12:00:00,117,127,10,7,56,45,1
Jalna,"Old MIDC, Jalna - MPCB",20-11-2023 12:00:00,103,113,3,31,38,42,7
Kalyan,"Khadakpada, Kalyan - MPCB",20-11-2023 12:00:00,55,107,32,11,10,37,1
Kolhapur,"Shivaji University, Kolhapur - MPCB",20-11-2023 12:00:00,135,112,4,36,23,53,6
Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",20-11-2023 12:00:00,141,139,1,48,19,40,8
Latur,"Sawe Wadi, Latur - MPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA
Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",20-11-2023 12:00:00,232,125,39,32,7,25,5
Malegaon,"Mahesh Nagar, Malegaon - MPCB",20-11-2023 12:00:00,134,153,10,18,15,11,6
Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA
Mumbai,"Bandra Kurla Complex, Mumbai - IITM",20-11-2023 12:00:00,146,117,24,45,8,47,3
Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",20-11-2023 12:00:00,107,107,6,57,11,61,25
Mumbai,"Borivali East, Mumbai - IITM",20-11-2023 12:00:00,115,155,,10,2,96,7
Mumbai,"Borivali East, Mumbai - MPCB",20-11-2023 12:00:00,60,71,5,,26,9,1
Mumbai,"Byculla, Mumbai - BMC",20-11-2023 12:00:00,104,108,8,36,16,58,14
